Instance-Type , Memory , CPUs , Physical Processor , Network Performance , Linux On Demand cost , Linux Reserved cost
m5d.8xlarge , 128.0 GiB , 32 vCPUs , Intel Xeon Platinum 8175 , 10 Gigabit , $1319.84 monthly , $840.23 monthly
m5d.large , 8.0 GiB , 2 vCPUs , Intel Xeon Platinum 8175 , Up to 10 Gigabit , $82.49 monthly , $52.56 monthly
m5d.metal , 384.0 GiB , 96 vCPUs , Intel Xeon Platinum 8175 , 25 Gigabit , $3959.52 monthly , $2521.42 monthly
m5d.xlarge , 16.0 GiB , 4 vCPUs , Intel Xeon Platinum 8175 , Up to 10 Gigabit , $164.98 monthly , $105.12 monthly
m5dn.12xlarge , 192.0 GiB , 48 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 50 Gigabit , $2382.72 monthly , $1516.21 monthly
m5dn.16xlarge , 256.0 GiB , 64 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 75 Gigabit , $3176.96 monthly , $2021.37 monthly
m5dn.24xlarge , 384.0 GiB , 96 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 100 Gigabit , $4765.44 monthly , $3032.42 monthly
m5dn.2xlarge , 32.0 GiB , 8 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , Up to 25 Gigabit , $397.12 monthly , $252.58 monthly
m5dn.4xlarge , 64.0 GiB , 16 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , Up to 25 Gigabit , $794.24 monthly , $505.16 monthly
m5dn.8xlarge , 128.0 GiB , 32 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 25 Gigabit , $1588.48 monthly , $1011.05 monthly
m5dn.large , 8.0 GiB , 2 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , Up to 25 Gigabit , $99.28 monthly , $63.51 monthly
m5dn.metal , 384.0 GiB , 96 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 100 Gigabit , unavailable , unavailable
m5dn.xlarge , 16.0 GiB , 4 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , Up to 25 Gigabit , $198.56 monthly , $126.29 monthly
